Features
========

A list of 53 features found in programming languages. View all features.
 https://pldb.io/lists/allFeatures.html

We also have a page of all keywords and all file extensions.
 https://pldb.io/lists/keywords.html
 https://pldb.io/lists/extensions.html

title|_$^titleLink|_$^pseudoExample|_$^yes|_$^no|_$^percentage
Comments|_$^../features/hasComments.html|_$^# Hello PLDB|_$^623|_$^4|_$^99%
Line Comments|_$^../features/hasLineComments.html|_$^# Hello PLDB|_$^527|_$^21|_$^96%
Strings|_$^../features/hasStrings.html|_$^"Hello PLDB"|_$^365|_$^0|_$^100%
Print() Debugging|_$^../features/hasPrintDebugging.html|_$^print "Hello PLDB"|_$^318|_$^1|_$^100%
MultiLine Comments|_$^../features/hasMultiLineComments.html|_$^/* Hello PLDB */|_$^224|_$^19|_$^92%
Integers|_$^../features/hasIntegers.html|_$^80766866|_$^159|_$^1|_$^99%
Floats|_$^../features/hasFloats.html|_$^80766866.0|_$^137|_$^0|_$^100%
Booleans|_$^../features/hasBooleans.html|_$^pldb = true|_$^116|_$^4|_$^97%
Hexadecimals|_$^../features/hasHexadecimals.html|_$^0x4D06792|_$^107|_$^1|_$^99%
Conditionals|_$^../features/hasConditionals.html|_$^if (isTrue) printPldb()|_$^74|_$^3|_$^96%
Semantic Indentation|_$^../features/hasSemanticIndentation.html|_$^line0 if true line1  print "Hello PLDB"|_$^66|_$^517|_$^11%
Octals|_$^../features/hasOctals.html|_$^0o464063622|_$^52|_$^3|_$^95%
Assignment|_$^../features/hasAssignment.html|_$^name = "PLDB"|_$^52|_$^1|_$^98%
While Loops|_$^../features/hasWhileLoops.html|_$^while (pldb.pop()) loop()|_$^48|_$^3|_$^94%
Binary Literals|_$^../features/hasBinaryNumbers.html|_$^0b100110100000110011110010010|_$^48|_$^1|_$^98%
File Imports|_$^../features/hasImports.html|_$^import pldb|_$^45|_$^2|_$^96%
Functions|_$^../features/hasFunctions.html|_$^function computePLDBRanks() {}|_$^43|_$^1|_$^98%
Standard Library|_$^../features/hasStandardLibrary.html|_$^print("print is part of stdlib")|_$^37|_$^1|_$^97%
Operator Overloading|_$^../features/hasOperatorOverloading.html|_$^def __add__(): doSomethingDifferent()|_$^33|_$^13|_$^72%
Classes|_$^../features/hasClasses.html|_$^class PLDBFile {}|_$^30|_$^4|_$^88%
Macros|_$^../features/hasMacros.html|_$^#define pldbItems 4000|_$^27|_$^9|_$^75%
Constants|_$^../features/hasConstants.html|_$^const name = "PLDB"|_$^27|_$^1|_$^96%
Type Inference|_$^../features/hasTypeInference.html|_$^imAString = "pldb"|_$^26|_$^1|_$^96%
Switch Statements|_$^../features/hasSwitch.html|_$^switch animal: case dog-buy; case cat-sell;|_$^24|_$^1|_$^96%
Case Insensitive Identifiers|_$^../features/hasCaseInsensitiveIdentifiers.html|_$^pLdB = "PLDB"|_$^23|_$^54|_$^30%
Exceptions|_$^../features/hasExceptions.html|_$^throw new Error("PLDB uh oh")|_$^22|_$^3|_$^88%
